sample_id,text,winner_annotation
0, I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother is mad because I booked it....,"[{""winner_text"": "" I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother is mad because I booked it."", ""loser_text"": "" Mum is mad at me for not flying on my own trip to meet my boyfriend."", ""preference"": ""winner""}]"
1, mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own....,"[{""winner_text"": "" mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own."", ""loser_text"": "" I have made sure my mother is comfortable with my boyfriend travelling on a trip and now my mother is mad because I booked it."", ""preference"": ""winner""}]"
2, mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own....,"[{""winner_text"": "" mum isn't speaking to me because I booked a flight and she doesn't want me flying on my own."", ""loser_text"": "" Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed because she thought she would be traveling with me. I am fine with that."", ""preference"": ""winner""}]"
3, Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed because she thought she would be traveling with me. I am fine with that....,"[{""winner_text"": "" Mum thought I was going to road trip with my boyfriend. I cancelled the flight. Mum is annoyed because she thought she would be traveling with me. I am fine with that."", ""loser_text"": "" Mum is mad at me for not flying on my own trip to meet my boyfriend."", ""preference"": ""winner""}]"
4," landlord pretended to be another tenant and wrote defamatory things on our wall, property management company refuses to look at the video tapes. Want to pursue this further...","[{""winner_text"": "" landlord pretended to be another tenant and wrote defamatory things on our wall, property management company refuses to look at the video tapes. Want to pursue this further"", ""loser_text"": "" My landlord is harassing me and my neighbours with the same falsified leaflets that she has done in the past. We are seeking to have the evidence examined by the Human Rights Board of Canada."", ""preference"": ""winner""}]"
5," Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?...","[{""winner_text"": "" Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?"", ""loser_text"": "" I snooped, we talked about it, she wants to work it out, I'm not sure.  Is the snooping worth it?"", ""preference"": ""winner""}]"
6," I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track....","[{""winner_text"": "" I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track."", ""loser_text"": "" I snooped, we talked about it, she wants to work it out, I'm not sure.  Is the snooping worth it?"", ""preference"": ""winner""}]"
7," Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?...","[{""winner_text"": "" Snooped, found something, should I admit what I found so we can have a more honest conversation about it with less denial on her part?"", ""loser_text"": "" Opened up snooping and found a google search for a guy's name and views of his facebook profile.  Girlfriend denies any feelings for him and insists that she only loves me and I mean the world to her, I'm not sure if I should admit to snooping and get to the bottom of this?"", ""preference"": ""winner""}]"
8," I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track....","[{""winner_text"": "" I snooped, gf has new male friend, I'm not sure whether to confess snooping to try and get us back on track."", ""loser_text"": "" Opened up snooping and found a google search for a guy's name and views of his facebook profile.  Girlfriend denies any feelings for him and insists that she only loves me and I mean the world to her, I'm not sure if I should admit to snooping and get to the bottom of this?"", ""preference"": ""winner""}]"
9, Good girlfriend I'm just not happy don't know how to break up with her...,"[{""winner_text"": "" Good girlfriend I'm just not happy don't know how to break up with her"", ""loser_text"": "" I want to break up with my girlfriend because I'm not happy but she thinks it's her fault. Should I do it anyway?"", ""preference"": ""winner""}]"
10, Being a feminist means you want equality and that both women and men should be treated equally. Being a *real* feminist means you do not want to see men treated as the inferior sex or any other half ...,"[{""winner_text"": "" Being a feminist means you want equality and that both women and men should be treated equally. Being a *real* feminist means you do not want to see men treated as the inferior sex or any other half of humanity. The fact that people are now of the idea that being a feminist must mean these negative and false things is worrying. It feels as though this once very respected and well thought of movement and all it's accomplishments are being flushed away due to the extremists."", ""loser_text"": "" I suppose I'm just worried, I'm worried that these minor few  are setting back an important and vital message by reducing the movement itself to a laughable thing."", ""preference"": ""winner""}]"
11," A movement that is supposed to be about equality has extremists who have made it a laughing stock, and it's a sign that this movement has been so strongly dismissed that it has lost all it's accompli...","[{""winner_text"": "" A movement that is supposed to be about equality has extremists who have made it a laughing stock, and it's a sign that this movement has been so strongly dismissed that it has lost all it's accomplishments."", ""loser_text"": "" I suppose I'm just worried, I'm worried that these minor few  are setting back an important and vital message by reducing the movement itself to a laughable thing."", ""preference"": ""winner""}]"
